DATE,PRICE,SPACE,CATEGORIES
2018-05-16,160.00,,UNDERGROUND_SLOT
2020-01-07,,,"RETAIL, COMMERCIAL"
2021-04-22,1450.00,54,"APARTMENT, ROOF_FLAT"
2019-03-26,1230.00,70,APARTMENT
2018-04-18,1400.00,77,APARTMENT
2019-12-19,1760.00,80,"APARTMENT, FLAT"
2021-09-13,1390.00,60,"APARTMENT, FLAT"
2018-03-09,1620.00,88,APARTMENT
2018-07-09,150.00,,UNDERGROUND_SLOT
2018-07-19,1540.00,83,APARTMENT
2018-12-24,170.00,,HOBBY_ROOM
2019-11-27,,,"RETAIL, STORAGE_ROOM"
2021-09-22,25.00,,"COVERED_PARKING_PLACE_BIKE, COVERED_PARKING_PLACE_BIKE"
2018-11-16,160.00,,UNDERGROUND_SLOT
2019-09-03,1535.00,83,APARTMENT
2021-09-22,180.00,,UNDERGROUND_SLOT
2019-11-14,780.00,47,APARTMENT
2019-02-20,2827.00,127,APARTMENT
2019-11-07,1230.00,62,APARTMENT
2020-12-18,2450.00,85,"APARTMENT, FLAT"
2021-04-07,,,"RETAIL, SHOP"
2018-10-03,275.00,,HOBBY_ROOM
2018-10-29,150.00,,UNDERGROUND_SLOT
2020-06-12,2150.00,85,"APARTMENT, FLAT"
2021-09-02,1500.00,79,"APARTMENT, FLAT"
2021-12-14,1810.00,125,"APARTMENT, DUPLEX"
2020-12-15,1050.00,,"RETAIL, SHOP"
2021-11-17,960.00,51,"APARTMENT, FLAT"
2019-04-16,,,OFFICE
2018-02-23,1495.00,80,APARTMENT
2020-11-23,130.00,,UNDERGROUND_SLOT
2018-09-28,630.00,,STORAGE_ROOM
2020-05-11,1530.00,72,"APARTMENT, FLAT"
2020-03-19,130.00,,UNDERGROUND_SLOT
2021-12-02,1150.00,50,"APARTMENT, FLAT"
2020-01-27,,,"RETAIL, STORAGE_ROOM"
2019-05-08,1270.00,51,APARTMENT
2018-11-07,135.00,,UNDERGROUND_SLOT
2018-11-17,1230.00,51,ROOF_FLAT
2020-07-22,40.00,,"COVERED_PARKING_PLACE_BIKE, COVERED_PARKING_PLACE_BIKE"
2019-02-08,3650.00,159,ATTIC_FLAT
2019-09-30,,,FURNISHED_FLAT
2021-02-10,1960.00,79,"APARTMENT, FLAT"
2019-03-21,1300.00,56,APARTMENT
2019-12-09,2150.00,99,APARTMENT
2019-08-16,200.00,,HOBBY_ROOM
2020-02-04,1940.00,120,"APARTMENT, DUPLEX"
2021-10-27,1080.00,94,"APARTMENT, FLAT"
2019-12-11,1170.00,52,APARTMENT
2020-12-04,1220.00,73,"APARTMENT, FLAT"
2021-09-07,2320.00,98,"APARTMENT, FLAT"
2019-02-19,1210.00,51,APARTMENT
2019-10-30,29950.00,,OFFICE
2019-10-02,1140.00,67,APARTMENT
2021-08-26,1270.00,71,"APARTMENT, FLAT"
2019-10-23,830.00,49,APARTMENT
2020-12-16,40.00,,"COVERED_PARKING_PLACE_BIKE, COVERED_PARKING_PLACE_BIKE"
2019-03-19,1010.00,50,APARTMENT
2020-09-30,125.00,,UNDERGROUND_SLOT
2020-12-21,1600.00,76,"APARTMENT, FLAT"
2019-11-18,1465.00,76,"APARTMENT, FLAT"
2019-10-08,50.00,,COVERED_PARKING_PLACE_BIKE
2018-11-22,1220.00,58,APARTMENT
2019-11-08,1570.00,88,APARTMENT
2018-09-28,1178.00,62,APARTMENT
2020-04-10,,59,"APARTMENT, FLAT"
2019-11-30,1410.00,85,"APARTMENT, FLAT"
2019-02-08,1495.00,80,APARTMENT
2019-08-08,160.00,,UNDERGROUND_SLOT
2020-10-01,1235.00,55,"APARTMENT, FLAT"
2019-10-30,35.00,,COVERED_PARKING_PLACE_BIKE
2020-08-25,1170.00,43,"APARTMENT, FLAT"
2019-09-09,1250.00,52,APARTMENT
2020-11-18,730.00,32,"APARTMENT, FLAT"
2019-03-04,,,OFFICE
2021-04-21,1340.00,59,"APARTMENT, FLAT"
2021-08-20,1630.00,86,"APARTMENT, FLAT"
2020-11-27,660.00,32,"APARTMENT, FLAT"
2018-07-04,,,SHOP
2020-06-18,770.00,33,"APARTMENT, FLAT"
2018-05-24,2000.00,94,APARTMENT
2021-06-10,900.00,45,"APARTMENT, FLAT"
2021-12-01,1565.00,83,"APARTMENT, FLAT"
2021-09-28,60.00,,OPEN_SLOT
2020-11-21,1730.00,89,"APARTMENT, FLAT"
2018-05-03,2120.00,114,APARTMENT
2021-08-18,150.00,,UNDERGROUND_SLOT
2021-05-27,1060.00,48,"APARTMENT, FLAT"
2018-03-20,140.00,,UNDERGROUND_SLOT
2018-11-23,940.00,49,APARTMENT
2020-12-05,1685.00,91,"APARTMENT, FLAT"
2020-04-10,1590.00,68,"APARTMENT, FLAT"
2020-09-08,125.00,,UNDERGROUND_SLOT
2020-11-14,980.00,47,"APARTMENT, FLAT"
2020-02-05,1610.00,85,"APARTMENT, FLAT"
2019-11-19,,,COMMERCIAL
2020-04-28,1395.00,76,"APARTMENT, FLAT"
2018-07-30,1290.00,61,APARTMENT
2018-05-04,,,OFFICE
2018-02-23,170.00,,UNDERGROUND_SLOT
2020-03-20,1320.00,62,"APARTMENT, ROOF_FLAT"
2021-03-08,1030.00,46,"APARTMENT, FLAT"
2020-07-07,1270.00,62,"APARTMENT, FLAT"
2018-06-08,,,OFFICE
2018-04-20,140.00,,UNDERGROUND_SLOT
2020-11-30,1475.00,78,"APARTMENT, FLAT"
2021-10-29,1010.00,61,"APARTMENT, FLAT"
2020-08-22,40.00,,"COVERED_PARKING_PLACE_BIKE, COVERED_PARKING_PLACE_BIKE"
2019-06-18,2250.00,115,APARTMENT
2018-05-24,2420.00,114,APARTMENT
2020-07-28,1620.00,88,"APARTMENT, FLAT"
2019-06-25,1400.00,34,APARTMENT
2020-11-14,1320.00,69,"APARTMENT, FLAT"
2020-02-12,1520.00,97,"APARTMENT, FLAT"
2018-09-21,160.00,,UNDERGROUND_SLOT
2019-03-12,1660.00,75,APARTMENT
2021-07-15,2470.00,111,"APARTMENT, FLAT"
2018-01-04,160.00,,UNDERGROUND_SLOT
2021-09-28,170.00,,UNDERGROUND_SLOT
2020-09-28,1070.00,49,"APARTMENT, FLAT"
2020-10-22,1410.00,75,"APARTMENT, FLAT"
2021-10-19,30.00,,"COVERED_PARKING_PLACE_BIKE, COVERED_PARKING_PLACE_BIKE"
2020-08-11,990.00,62,"APARTMENT, FLAT"
2018-06-04,,,SHOP
2021-08-16,1320.00,66,"APARTMENT, FLAT"
2019-06-20,160.00,,UNDERGROUND_SLOT
2019-09-03,2650.00,123,APARTMENT
2019-01-04,650.00,,HOBBY_ROOM
2019-02-08,1210.00,68,APARTMENT
2021-09-30,,76,"APARTMENT, FLAT"
2020-06-12,1565.00,43,"APARTMENT, FURNISHED_FLAT"
2019-08-15,660.00,29,APARTMENT
